Date,Open,High,Low,Close,Adj Close,Volume
2005-10-27,2.279690,2.303950,2.279690,2.303950,1.381165,3749311738
2005-10-28,2.255440,2.279690,2.231190,2.279690,1.366622,2176332396
2005-10-31,2.279690,2.279690,2.255440,2.279690,1.366622,291142223
2005-11-01,2.279690,2.279690,2.255440,2.279690,1.366622,332592279
2005-11-02,2.255440,2.279690,2.255440,2.279690,1.366622,177183942
2005-11-03,2.255440,2.279690,2.255440,2.279690,1.366622,256887080
2005-11-04,2.279690,2.279690,2.255440,2.279690,1.366622,194037075
2005-11-07,2.279690,2.279690,2.255440,2.279690,1.366622,280559599
2005-11-08,2.279690,2.279690,2.255440,2.279690,1.366622,126533548
2005-11-09,2.279690,2.376700,2.255440,2.328200,1.395703,2754978142
2005-11-10,2.376700,2.425210,2.352450,2.425210,1.453858,813499756
2005-11-11,2.425210,2.449460,2.400950,2.400950,1.439314,566185494
2005-11-14,2.400950,2.425210,2.376700,2.400950,1.439314,220612975
2005-11-15,2.376700,2.400950,2.352450,2.376700,1.424777,231138037
2005-11-16,2.376700,2.400950,2.376700,2.376700,1.424777,223569610
2005-11-17,2.376700,2.400950,2.352450,2.400950,1.439314,204000350
2005-11-18,2.400950,2.425210,2.376700,2.400950,1.439314,305032772
2005-11-21,2.425210,2.473710,2.400950,2.449460,1.468395,538318724
2005-11-22,2.449460,2.473710,2.400950,2.425210,1.453858,413428690
2005-11-23,2.449460,2.449460,2.425210,2.449460,1.468395,202639575
2005-11-24,2.449460,2.497960,2.425210,2.473710,1.482932,403023029
2005-11-25,2.473710,2.497960,2.449460,2.497960,1.497470,253245020
2005-11-28,2.497960,2.522210,2.449460,2.497960,1.497470,538625239
2005-11-29,2.473710,2.497960,2.449460,2.497960,1.497470,244837901
2005-11-30,2.473710,2.497960,2.449460,2.473710,1.482932,260734485
2005-12-01,2.449460,2.497960,2.449460,2.473710,1.482932,326971109
2005-12-02,2.497960,2.497960,2.449460,2.473710,1.482932,240771195
2005-12-05,2.473710,2.497960,2.376700,2.400950,1.439314,490234053
2005-12-06,2.376700,2.425210,2.376700,2.400950,1.439314,260475744
2005-12-07,2.425210,2.449460,2.376700,2.449460,1.468395,223606259
2005-12-08,2.425210,2.497960,2.425210,2.473710,1.482932,412860698
2005-12-09,2.473710,2.473710,2.449460,2.473710,1.482932,159632068
2005-12-12,2.473710,2.473710,2.425210,2.449460,1.468395,168275590
2005-12-13,2.425210,2.449460,2.400950,2.449460,1.468395,132084965
2005-12-14,2.425210,2.473710,2.425210,2.473710,1.482932,232792536
2005-12-15,2.473710,2.473710,2.449460,2.473710,1.482932,176847540
2005-12-16,2.449460,2.473710,2.449460,2.473710,1.482932,162694385
2005-12-19,2.449460,2.522210,2.449460,2.522210,1.512007,469433282
2005-12-20,2.497960,2.546470,2.473710,2.522210,1.512007,631598704
2005-12-21,2.546470,2.594970,2.522210,2.570720,1.541088,592213812
2005-12-22,2.594970,2.594970,2.546470,2.570720,1.541088,238357814
2005-12-23,2.570720,2.570720,2.546470,2.570720,1.541088,82135166
2005-12-28,2.546470,2.570720,2.546470,2.546470,1.526550,178184580
2005-12-29,2.570720,2.619220,2.546470,2.594970,1.555625,366023292
2005-12-30,2.594970,2.619220,2.570720,2.594970,1.555625,305889437
2006-01-03,2.619220,2.716230,2.594970,2.716230,1.628318,548647828
2006-01-04,2.740480,2.813240,2.716230,2.813240,1.686473,928169367
2006-01-05,2.788990,2.813240,2.740480,2.764740,1.657398,652482357
2006-01-06,2.740480,2.813240,2.740480,2.813240,1.686473,437249926
2006-01-09,2.837490,2.910250,2.813240,2.861740,1.715548,645492113
2006-01-10,2.886000,2.886000,2.788990,2.813240,1.686473,534137993
2006-01-11,2.813240,2.837490,2.788990,2.813240,1.686473,440176549
2006-01-12,2.813240,2.837490,2.788990,2.813240,1.686473,309357455
2006-01-13,2.813240,2.886000,2.788990,2.886000,1.730091,390125091
2006-01-16,2.886000,2.934500,2.861740,2.934500,1.759165,496924922
2006-01-17,2.910250,2.934500,2.837490,2.861740,1.715548,518988007
2006-01-18,2.813240,2.886000,2.788990,2.861740,1.715548,537155999
2006-01-19,2.886000,2.934500,2.861740,2.934500,1.759165,484598692
2006-01-20,2.958750,2.983000,2.861740,2.934500,1.759165,740675033
2006-01-23,2.886000,2.910250,2.837490,2.910250,1.744628,336507410
2006-01-24,2.910250,2.934500,2.861740,2.910250,1.744628,350975455
2006-01-25,2.910250,2.910250,2.886000,2.910250,1.744628,170308856
2006-01-26,2.886000,2.910250,2.886000,2.910250,1.744628,235415219
